TIME_PERIOD;GEO;AGE;SEX;Obs_status;Obs_value
2019-W01;CH013;Y65T69;F;;2
2019-W01;CH013;Y65T69;M;;2
2019-W01;CH013;Y70T74;T;;5
2019-W01;CH013;Y70T74;F;;1
2019-W01;CH013;Y70T74;M;;4
2019-W01;CH013;Y75T79;T;;5
2019-W01;CH013;Y75T79;F;;2
2019-W01;CH013;Y75T79;M;;3
2019-W01;CH013;Y80T84;T;;11
2019-W01;CH013;Y80T84;F;;4
2019-W01;CH013;Y80T84;M;;7
2019-W01;CH013;Y85T89;T;;18
2019-W01;CH013;Y85T89;F;;12
2019-W01;CH013;Y85T89;M;;6
2019-W01;CH013;Y_GE90;T;;28
2019-W01;CH013;Y_GE90;F;;21
2019-W01;CH013;Y_GE90;M;;7
2019-W01;CH021;_T;T;;182
2019-W01;CH021;_T;F;;101
2019-W01;CH021;_T;M;;81
2019-W01;CH021;Y0T4;T;;2
2019-W01;CH021;Y0T4;F;;1
2019-W01;CH021;Y0T4;M;;1
2019-W01;CH021;Y45T49;T;;3
2019-W01;CH021;Y45T49;F;;1
2019-W01;CH021;Y45T49;M;;2
2019-W01;CH021;Y50T54;T;;1
2019-W01;CH021;Y50T54;F;;1
2019-W01;CH021;Y55T59;T;;4
2019-W01;CH021;Y55T59;M;;4
2019-W01;CH021;Y60T64;T;;5
2019-W01;CH021;Y60T64;F;;1
2019-W01;CH021;Y60T64;M;;4
2019-W01;CH021;Y65T69;T;;9
2019-W01;CH021;Y65T69;F;;4
2019-W01;CH021;Y65T69;M;;5
2019-W01;CH021;Y70T74;T;;14
2019-W01;CH021;Y70T74;F;;6
2019-W01;CH021;Y70T74;M;;8
2019-W01;CH021;Y75T79;T;;9
2019-W01;CH021;Y75T79;F;;5
2019-W01;CH021;Y75T79;M;;4
2019-W01;CH021;Y80T84;T;;28
2019-W01;CH021;Y80T84;F;;11
2019-W01;CH021;Y80T84;M;;17
2019-W01;CH021;Y85T89;T;;38
2019-W01;CH021;Y85T89;F;;21
2019-W01;CH021;Y85T89;M;;17
2019-W01;CH021;Y_GE90;T;;69
2019-W01;CH021;Y_GE90;F;;50
2019-W01;CH021;Y_GE90;M;;19
2019-W01;CH022;_T;T;;54
2019-W01;CH022;_T;F;;28
2019-W01;CH022;_T;M;;26
2019-W01;CH022;Y0T4;T;;1
2019-W01;CH022;Y0T4;M;;1
2019-W01;CH022;Y45T49;T;;1
2019-W01;CH022;Y45T49;M;;1
2019-W01;CH022;Y55T59;T;;4
2019-W01;CH022;Y55T59;F;;1
2019-W01;CH022;Y55T59;M;;3
2019-W01;CH022;Y65T69;T;;4
2019-W01;CH022;Y65T69;F;;3
2019-W01;CH022;Y65T69;M;;1
2019-W01;CH022;Y70T74;T;;4
2019-W01;CH022;Y70T74;F;;3
2019-W01;CH022;Y70T74;M;;1
2019-W01;CH022;Y75T79;T;;5
2019-W01;CH022;Y75T79;F;;2
2019-W01;CH022;Y75T79;M;;3
2019-W01;CH022;Y80T84;T;;8
2019-W01;CH022;Y80T84;F;;3
2019-W01;CH022;Y80T84;M;;5
2019-W01;CH022;Y85T89;T;;7
2019-W01;CH022;Y85T89;F;;3
2019-W01;CH022;Y85T89;M;;4
2019-W01;CH022;Y_GE90;T;;20
2019-W01;CH022;Y_GE90;F;;13
2019-W01;CH022;Y_GE90;M;;7
2019-W01;CH023;_T;T;;44
2019-W01;CH023;_T;F;;22
2019-W01;CH023;_T;M;;22
2019-W01;CH023;Y50T54;T;;2
2019-W01;CH023;Y50T54;F;;1
2019-W01;CH023;Y50T54;M;;1
2019-W01;CH023;Y55T59;T;;1
2019-W01;CH023;Y55T59;F;;1
2019-W01;CH023;Y60T64;T;;1
2019-W01;CH023;Y60T64;M;;1
2019-W01;CH023;Y65T69;T;;2
2019-W01;CH023;Y65T69;F;;1
2019-W01;CH023;Y65T69;M;;1
2019-W01;CH023;Y70T74;T;;5
2019-W01;CH023;Y70T74;F;;3
2019-W01;CH023;Y70T74;M;;2
2019-W01;CH023;Y75T79;T;;4
2019-W01;CH023;Y75T79;F;;1
2019-W01;CH023;Y75T79;M;;3
2019-W01;CH023;Y80T84;T;;11
2019-W01;CH023;Y80T84;F;;4
2019-W01;CH023;Y80T84;M;;7
2019-W01;CH023;Y85T89;T;;8
2019-W01;CH023;Y85T89;F;;5
2019-W01;CH023;Y85T89;M;;3
2019-W01;CH023;Y_GE90;T;;10
2019-W01;CH023;Y_GE90;F;;6
2019-W01;CH023;Y_GE90;M;;4
2019-W01;CH024;_T;T;;27
2019-W01;CH024;_T;F;;19
2019-W01;CH024;_T;M;;8
2019-W01;CH024;Y60T64;T;;2
2019-W01;CH024;Y60T64;F;;1
2019-W01;CH024;Y60T64;M;;1
2019-W01;CH024;Y65T69;T;;1
2019-W01;CH024;Y65T69;F;;1
2019-W01;CH024;Y70T74;T;;3
2019-W01;CH024;Y70T74;F;;3
2019-W01;CH024;Y75T79;T;;2
2019-W01;CH024;Y75T79;F;;2
2019-W01;CH024;Y80T84;T;;1
2019-W01;CH024;Y80T84;F;;1
2019-W01;CH024;Y85T89;T;;9
2019-W01;CH024;Y85T89;F;;4
2019-W01;CH024;Y85T89;M;;5
2019-W01;CH024;Y_GE90;T;;9
2019-W01;CH024;Y_GE90;F;;7
2019-W01;CH024;Y_GE90;M;;2
2019-W01;CH025;_T;T;;18
2019-W01;CH025;_T;F;;8
2019-W01;CH025;_T;M;;10
2019-W01;CH025;Y50T54;T;;1
2019-W01;CH025;Y50T54;M;;1
2019-W01;CH025;Y60T64;T;;1
2019-W01;CH025;Y60T64;M;;1
2019-W01;CH025;Y65T69;T;;1
2019-W01;CH025;Y65T69;M;;1
2019-W01;CH025;Y75T79;T;;3
2019-W01;CH025;Y75T79;M;;3
2019-W01;CH025;Y80T84;T;;1
2019-W01;CH025;Y80T84;F;;1
2019-W01;CH025;Y85T89;T;;5
2019-W01;CH025;Y85T89;F;;2
2019-W01;CH025;Y85T89;M;;3
2019-W01;CH025;Y_GE90;T;;6
2019-W01;CH025;Y_GE90;F;;5
2019-W01;CH025;Y_GE90;M;;1
2019-W01;CH031;_T;T;;29
2019-W01;CH031;_T;F;;19
2019-W01;CH031;_T;M;;10
2019-W01;CH031;Y55T59;T;;1
2019-W01;CH031;Y55T59;M;;1
2019-W01;CH031;Y70T74;T;;2
2019-W01;CH031;Y70T74;F;;1
2019-W01;CH031;Y70T74;M;;1
2019-W01;CH031;Y75T79;T;;4
2019-W01;CH031;Y75T79;F;;4
2019-W01;CH031;Y80T84;T;;3
2019-W01;CH031;Y80T84;F;;1
2019-W01;CH031;Y80T84;M;;2
2019-W01;CH031;Y85T89;T;;6
2019-W01;CH031;Y85T89;F;;4
2019-W01;CH031;Y85T89;M;;2
2019-W01;CH031;Y_GE90;T;;13
2019-W01;CH031;Y_GE90;F;;9
2019-W01;CH031;Y_GE90;M;;4
2019-W01;CH032;_T;T;;41
2019-W01;CH032;_T;F;;25
2019-W01;CH032;_T;M;;16
2019-W01;CH032;Y45T49;T;;1
2019-W01;CH032;Y45T49;F;;1
2019-W01;CH032;Y50T54;T;;1
2019-W01;CH032;Y50T54;F;;1
2019-W01;CH032;Y65T69;T;;2
2019-W01;CH032;Y65T69;M;;2
2019-W01;CH032;Y70T74;T;;4
2019-W01;CH032;Y70T74;F;;1
2019-W01;CH032;Y70T74;M;;3
2019-W01;CH032;Y75T79;T;;4
2019-W01;CH032;Y75T79;F;;3
2019-W01;CH032;Y75T79;M;;1
2019-W01;CH032;Y80T84;T;;6
2019-W01;CH032;Y80T84;F;;2
2019-W01;CH032;Y80T84;M;;4
2019-W01;CH032;Y85T89;T;;14
2019-W01;CH032;Y85T89;F;;10
2019-W01;CH032;Y85T89;M;;4
2019-W01;CH032;Y_GE90;T;;9
2019-W01;CH032;Y_GE90;F;;7
2019-W01;CH032;Y_GE90;M;;2
2019-W01;CH033;_T;T;;87
2019-W01;CH033;_T;F;;46
2019-W01;CH033;_T;M;;41
