TIME_PERIOD;GEO;AGE;SEX;Obs_status;Obs_value
2017-W01;CH;_T;T;;1678
2017-W01;CH;_T;F;;905
2017-W01;CH;_T;M;;773
2017-W01;CH;Y0T4;T;;8
2017-W01;CH;Y0T4;F;;1
2017-W01;CH;Y0T4;M;;7
2017-W01;CH;Y15T19;T;;2
2017-W01;CH;Y15T19;M;;2
2017-W01;CH;Y20T24;T;;5
2017-W01;CH;Y20T24;M;;5
2017-W01;CH;Y25T29;T;;5
2017-W01;CH;Y25T29;F;;4
2017-W01;CH;Y25T29;M;;1
2017-W01;CH;Y30T34;T;;7
2017-W01;CH;Y30T34;F;;1
2017-W01;CH;Y30T34;M;;6
2017-W01;CH;Y35T39;T;;3
2017-W01;CH;Y35T39;F;;1
2017-W01;CH;Y35T39;M;;2
2017-W01;CH;Y40T44;T;;4
2017-W01;CH;Y40T44;M;;4
2017-W01;CH;Y45T49;T;;16
2017-W01;CH;Y45T49;F;;5
2017-W01;CH;Y45T49;M;;11
2017-W01;CH;Y50T54;T;;20
2017-W01;CH;Y50T54;F;;7
2017-W01;CH;Y50T54;M;;13
2017-W01;CH;Y55T59;T;;44
2017-W01;CH;Y55T59;F;;18
2017-W01;CH;Y55T59;M;;26
2017-W01;CH;Y60T64;T;;47
2017-W01;CH;Y60T64;F;;17
2017-W01;CH;Y60T64;M;;30
2017-W01;CH;Y65T69;T;;83
2017-W01;CH;Y65T69;F;;36
2017-W01;CH;Y65T69;M;;47
2017-W01;CH;Y70T74;T;;123
2017-W01;CH;Y70T74;F;;51
2017-W01;CH;Y70T74;M;;72
2017-W01;CH;Y75T79;T;;158
2017-W01;CH;Y75T79;F;;72
2017-W01;CH;Y75T79;M;;86
2017-W01;CH;Y80T84;T;;231
2017-W01;CH;Y80T84;F;;114
2017-W01;CH;Y80T84;M;;117
2017-W01;CH;Y85T89;T;;365
2017-W01;CH;Y85T89;F;;195
2017-W01;CH;Y85T89;M;;170
2017-W01;CH;Y_GE90;T;;557
2017-W01;CH;Y_GE90;F;;383
2017-W01;CH;Y_GE90;M;;174
