TIME_PERIOD;GEO;AGE;SEX;Obs_status;Obs_value
2020-W23;CH056;Y70T74;T;P;3
2020-W23;CH056;Y70T74;M;P;3
2020-W23;CH056;Y75T79;T;P;3
2020-W23;CH056;Y75T79;F;P;3
2020-W23;CH056;Y80T84;T;P;5
2020-W23;CH056;Y80T84;F;P;1
2020-W23;CH056;Y80T84;M;P;4
2020-W23;CH056;Y85T89;T;P;4
2020-W23;CH056;Y85T89;F;P;3
2020-W23;CH056;Y85T89;M;P;1
2020-W23;CH056;Y_GE90;T;P;9
2020-W23;CH056;Y_GE90;F;P;2
2020-W23;CH056;Y_GE90;M;P;7
2020-W23;CH057;_T;T;P;33
2020-W23;CH057;_T;F;P;13
2020-W23;CH057;_T;M;P;20
2020-W23;CH057;Y40T44;T;P;1
2020-W23;CH057;Y40T44;M;P;1
2020-W23;CH057;Y55T59;T;P;2
2020-W23;CH057;Y55T59;F;P;1
2020-W23;CH057;Y55T59;M;P;1
2020-W23;CH057;Y60T64;T;P;1
2020-W23;CH057;Y60T64;M;P;1
2020-W23;CH057;Y65T69;T;P;2
2020-W23;CH057;Y65T69;M;P;2
2020-W23;CH057;Y70T74;T;P;2
2020-W23;CH057;Y70T74;F;P;1
2020-W23;CH057;Y70T74;M;P;1
2020-W23;CH057;Y75T79;T;P;6
2020-W23;CH057;Y75T79;M;P;6
2020-W23;CH057;Y80T84;T;P;5
2020-W23;CH057;Y80T84;F;P;3
2020-W23;CH057;Y80T84;M;P;2
2020-W23;CH057;Y85T89;T;P;8
2020-W23;CH057;Y85T89;F;P;3
2020-W23;CH057;Y85T89;M;P;5
2020-W23;CH057;Y_GE90;T;P;6
2020-W23;CH057;Y_GE90;F;P;5
2020-W23;CH057;Y_GE90;M;P;1
2020-W23;CH061;_T;T;P;65
2020-W23;CH061;_T;F;P;31
2020-W23;CH061;_T;M;P;34
2020-W23;CH061;Y0T4;T;P;1
2020-W23;CH061;Y0T4;F;P;1
2020-W23;CH061;Y50T54;T;P;2
2020-W23;CH061;Y50T54;F;P;1
2020-W23;CH061;Y50T54;M;P;1
2020-W23;CH061;Y55T59;T;P;1
2020-W23;CH061;Y55T59;M;P;1
2020-W23;CH061;Y60T64;T;P;4
2020-W23;CH061;Y60T64;F;P;2
2020-W23;CH061;Y60T64;M;P;2
2020-W23;CH061;Y65T69;T;P;4
2020-W23;CH061;Y65T69;F;P;2
2020-W23;CH061;Y65T69;M;P;2
2020-W23;CH061;Y70T74;T;P;7
2020-W23;CH061;Y70T74;F;P;2
2020-W23;CH061;Y70T74;M;P;5
2020-W23;CH061;Y75T79;T;P;4
2020-W23;CH061;Y75T79;F;P;1
2020-W23;CH061;Y75T79;M;P;3
2020-W23;CH061;Y80T84;T;P;14
2020-W23;CH061;Y80T84;F;P;5
