TIME_PERIOD;GEO;AGE;SEX;Obs_status;Obs_value
2015-W01;CH;_T;T;;1423
2015-W01;CH;_T;F;;742
2015-W01;CH;_T;M;;681
2015-W01;CH;Y0T4;T;;7
2015-W01;CH;Y0T4;F;;2
2015-W01;CH;Y0T4;M;;5
2015-W01;CH;Y5T9;T;;1
2015-W01;CH;Y5T9;M;;1
2015-W01;CH;Y15T19;T;;1
2015-W01;CH;Y15T19;M;;1
2015-W01;CH;Y20T24;T;;1
2015-W01;CH;Y20T24;F;;1
2015-W01;CH;Y25T29;T;;4
2015-W01;CH;Y25T29;F;;3
2015-W01;CH;Y25T29;M;;1
2015-W01;CH;Y30T34;T;;6
2015-W01;CH;Y30T34;M;;6
2015-W01;CH;Y35T39;T;;9
2015-W01;CH;Y35T39;F;;5
2015-W01;CH;Y35T39;M;;4
2015-W01;CH;Y40T44;T;;7
2015-W01;CH;Y40T44;F;;1
2015-W01;CH;Y40T44;M;;6
2015-W01;CH;Y45T49;T;;15
2015-W01;CH;Y45T49;F;;4
2015-W01;CH;Y45T49;M;;11
2015-W01;CH;Y50T54;T;;29
2015-W01;CH;Y50T54;F;;7
2015-W01;CH;Y50T54;M;;22
2015-W01;CH;Y55T59;T;;48
2015-W01;CH;Y55T59;F;;22
2015-W01;CH;Y55T59;M;;26
2015-W01;CH;Y60T64;T;;63
2015-W01;CH;Y60T64;F;;22
2015-W01;CH;Y60T64;M;;41
2015-W01;CH;Y65T69;T;;89
2015-W01;CH;Y65T69;F;;34
2015-W01;CH;Y65T69;M;;55
2015-W01;CH;Y70T74;T;;90
2015-W01;CH;Y70T74;F;;40
2015-W01;CH;Y70T74;M;;50
2015-W01;CH;Y75T79;T;;132
2015-W01;CH;Y75T79;F;;53
2015-W01;CH;Y75T79;M;;79
2015-W01;CH;Y80T84;T;;212
2015-W01;CH;Y80T84;F;;100
2015-W01;CH;Y80T84;M;;112
2015-W01;CH;Y85T89;T;;306
2015-W01;CH;Y85T89;F;;182
2015-W01;CH;Y85T89;M;;124
2015-W01;CH;Y_GE90;T;;403
2015-W01;CH;Y_GE90;F;;266
2015-W01;CH;Y_GE90;M;;137
2015-W01;CH011;_T;T;;131
2015-W01;CH011;_T;F;;72
2015-W01;CH011;_T;M;;59
2015-W01;CH011;Y0T4;T;;1
2015-W01;CH011;Y0T4;M;;1
2015-W01;CH011;Y15T19;T;;1
2015-W01;CH011;Y15T19;M;;1
2015-W01;CH011;Y25T29;T;;2
2015-W01;CH011;Y25T29;F;;2
2015-W01;CH011;Y30T34;T;;2
2015-W01;CH011;Y30T34;M;;2
2015-W01;CH011;Y35T39;T;;2
2015-W01;CH011;Y35T39;F;;1
2015-W01;CH011;Y35T39;M;;1
2015-W01;CH011;Y45T49;T;;2
2015-W01;CH011;Y45T49;F;;2
2015-W01;CH011;Y50T54;T;;4
2015-W01;CH011;Y50T54;M;;4
2015-W01;CH011;Y55T59;T;;6
2015-W01;CH011;Y55T59;F;;3
2015-W01;CH011;Y55T59;M;;3
2015-W01;CH011;Y60T64;T;;3
2015-W01;CH011;Y60T64;M;;3
2015-W01;CH011;Y65T69;T;;5
2015-W01;CH011;Y65T69;F;;1
2015-W01;CH011;Y65T69;M;;4
2015-W01;CH011;Y70T74;T;;10
2015-W01;CH011;Y70T74;F;;6
2015-W01;CH011;Y70T74;M;;4
2015-W01;CH011;Y75T79;T;;13
2015-W01;CH011;Y75T79;F;;5
2015-W01;CH011;Y75T79;M;;8
2015-W01;CH011;Y80T84;T;;24
2015-W01;CH011;Y80T84;F;;15
2015-W01;CH011;Y80T84;M;;9
2015-W01;CH011;Y85T89;T;;20
2015-W01;CH011;Y85T89;F;;11
2015-W01;CH011;Y85T89;M;;9
2015-W01;CH011;Y_GE90;T;;36
2015-W01;CH011;Y_GE90;F;;26
2015-W01;CH011;Y_GE90;M;;10
2015-W01;CH012;_T;T;;54
2015-W01;CH012;_T;F;;26
2015-W01;CH012;_T;M;;28
2015-W01;CH012;Y30T34;T;;1
2015-W01;CH012;Y30T34;M;;1
2015-W01;CH012;Y40T44;T;;1
2015-W01;CH012;Y40T44;M;;1
2015-W01;CH012;Y55T59;T;;3
2015-W01;CH012;Y55T59;F;;2
2015-W01;CH012;Y55T59;M;;1
2015-W01;CH012;Y60T64;T;;4
2015-W01;CH012;Y60T64;F;;3
2015-W01;CH012;Y60T64;M;;1
2015-W01;CH012;Y65T69;T;;6
2015-W01;CH012;Y65T69;F;;2
