TIME_PERIOD;GEO;AGE;SEX;Obs_status;Obs_value
2014-W01;CH;_T;T;;1330
2014-W01;CH;_T;F;;698
2014-W01;CH;_T;M;;632
2014-W01;CH;Y0T4;T;;4
2014-W01;CH;Y0T4;F;;1
2014-W01;CH;Y0T4;M;;3
2014-W01;CH;Y15T19;T;;1
2014-W01;CH;Y15T19;F;;1
2014-W01;CH;Y20T24;T;;2
2014-W01;CH;Y20T24;M;;2
2014-W01;CH;Y25T29;T;;7
2014-W01;CH;Y25T29;F;;2
2014-W01;CH;Y25T29;M;;5
2014-W01;CH;Y30T34;T;;5
2014-W01;CH;Y30T34;F;;1
2014-W01;CH;Y30T34;M;;4
2014-W01;CH;Y35T39;T;;9
2014-W01;CH;Y35T39;F;;3
2014-W01;CH;Y35T39;M;;6
2014-W01;CH;Y40T44;T;;8
2014-W01;CH;Y40T44;F;;3
2014-W01;CH;Y40T44;M;;5
2014-W01;CH;Y45T49;T;;19
2014-W01;CH;Y45T49;F;;8
2014-W01;CH;Y45T49;M;;11
2014-W01;CH;Y50T54;T;;23
2014-W01;CH;Y50T54;F;;10
2014-W01;CH;Y50T54;M;;13
2014-W01;CH;Y55T59;T;;42
2014-W01;CH;Y55T59;F;;18
2014-W01;CH;Y55T59;M;;24
2014-W01;CH;Y60T64;T;;50
2014-W01;CH;Y60T64;F;;12
2014-W01;CH;Y60T64;M;;38
2014-W01;CH;Y65T69;T;;61
2014-W01;CH;Y65T69;F;;22
2014-W01;CH;Y65T69;M;;39
2014-W01;CH;Y70T74;T;;103
2014-W01;CH;Y70T74;F;;49
2014-W01;CH;Y70T74;M;;54
2014-W01;CH;Y75T79;T;;140
2014-W01;CH;Y75T79;F;;64
2014-W01;CH;Y75T79;M;;76
2014-W01;CH;Y80T84;T;;218
2014-W01;CH;Y80T84;F;;97
2014-W01;CH;Y80T84;M;;121
2014-W01;CH;Y85T89;T;;260
2014-W01;CH;Y85T89;F;;144
2014-W01;CH;Y85T89;M;;116
2014-W01;CH;Y_GE90;T;;378
2014-W01;CH;Y_GE90;F;;263
2014-W01;CH;Y_GE90;M;;115
2014-W01;CH011;_T;T;;117
2014-W01;CH011;_T;F;;53
2014-W01;CH011;_T;M;;64
2014-W01;CH011;Y0T4;T;;1
2014-W01;CH011;Y0T4;M;;1
2014-W01;CH011;Y25T29;T;;2
2014-W01;CH011;Y25T29;F;;1
2014-W01;CH011;Y25T29;M;;1
2014-W01;CH011;Y30T34;T;;2
2014-W01;CH011;Y30T34;F;;1
2014-W01;CH011;Y30T34;M;;1
2014-W01;CH011;Y35T39;T;;1
2014-W01;CH011;Y35T39;M;;1
2014-W01;CH011;Y40T44;T;;1
2014-W01;CH011;Y40T44;M;;1
2014-W01;CH011;Y45T49;T;;1
2014-W01;CH011;Y45T49;M;;1
2014-W01;CH011;Y50T54;T;;3
2014-W01;CH011;Y50T54;F;;2
2014-W01;CH011;Y50T54;M;;1
2014-W01;CH011;Y55T59;T;;7
2014-W01;CH011;Y55T59;F;;2
2014-W01;CH011;Y55T59;M;;5
2014-W01;CH011;Y60T64;T;;5
2014-W01;CH011;Y60T64;F;;3
2014-W01;CH011;Y60T64;M;;2
2014-W01;CH011;Y65T69;T;;6
2014-W01;CH011;Y65T69;F;;3
2014-W01;CH011;Y65T69;M;;3
2014-W01;CH011;Y70T74;T;;10
2014-W01;CH011;Y70T74;F;;3
2014-W01;CH011;Y70T74;M;;7
2014-W01;CH011;Y75T79;T;;10
2014-W01;CH011;Y75T79;F;;1
2014-W01;CH011;Y75T79;M;;9
2014-W01;CH011;Y80T84;T;;16
2014-W01;CH011;Y80T84;F;;5
2014-W01;CH011;Y80T84;M;;11
2014-W01;CH011;Y85T89;T;;29
2014-W01;CH011;Y85T89;F;;14
2014-W01;CH011;Y85T89;M;;15
2014-W01;CH011;Y_GE90;T;;23
2014-W01;CH011;Y_GE90;F;;18
2014-W01;CH011;Y_GE90;M;;5
2014-W01;CH012;_T;T;;49
2014-W01;CH012;_T;F;;22
2014-W01;CH012;_T;M;;27
2014-W01;CH012;Y25T29;T;;1
2014-W01;CH012;Y25T29;M;;1
2014-W01;CH012;Y40T44;T;;1
2014-W01;CH012;Y40T44;M;;1
2014-W01;CH012;Y45T49;T;;1
2014-W01;CH012;Y45T49;M;;1
2014-W01;CH012;Y50T54;T;;1
2014-W01;CH012;Y50T54;M;;1
2014-W01;CH012;Y55T59;T;;2
2014-W01;CH012;Y55T59;F;;1
2014-W01;CH012;Y55T59;M;;1
2014-W01;CH012;Y60T64;T;;1
2014-W01;CH012;Y60T64;M;;1
2014-W01;CH012;Y65T69;T;;5
2014-W01;CH012;Y65T69;M;;5
2014-W01;CH012;Y70T74;T;;3
2014-W01;CH012;Y70T74;F;;1
2014-W01;CH012;Y70T74;M;;2
2014-W01;CH012;Y75T79;T;;2
2014-W01;CH012;Y75T79;F;;2
2014-W01;CH012;Y80T84;T;;10
2014-W01;CH012;Y80T84;F;;3
2014-W01;CH012;Y80T84;M;;7
2014-W01;CH012;Y85T89;T;;10
2014-W01;CH012;Y85T89;F;;7
2014-W01;CH012;Y85T89;M;;3
2014-W01;CH012;Y_GE90;T;;12
2014-W01;CH012;Y_GE90;F;;8
2014-W01;CH012;Y_GE90;M;;4
2014-W01;CH013;_T;T;;69
2014-W01;CH013;_T;F;;44
2014-W01;CH013;_T;M;;25
2014-W01;CH013;Y0T4;T;;1
2014-W01;CH013;Y0T4;F;;1
2014-W01;CH013;Y35T39;T;;1
2014-W01;CH013;Y35T39;M;;1
2014-W01;CH013;Y55T59;T;;2
2014-W01;CH013;Y55T59;F;;1
2014-W01;CH013;Y55T59;M;;1
2014-W01;CH013;Y60T64;T;;3
2014-W01;CH013;Y60T64;F;;1
2014-W01;CH013;Y60T64;M;;2
2014-W01;CH013;Y65T69;T;;4
2014-W01;CH013;Y65T69;F;;3
2014-W01;CH013;Y65T69;M;;1
2014-W01;CH013;Y70T74;T;;8
2014-W01;CH013;Y70T74;F;;6
2014-W01;CH013;Y70T74;M;;2
2014-W01;CH013;Y75T79;T;;8
2014-W01;CH013;Y75T79;F;;6
2014-W01;CH013;Y75T79;M;;2
2014-W01;CH013;Y80T84;T;;16
2014-W01;CH013;Y80T84;F;;9
2014-W01;CH013;Y80T84;M;;7
2014-W01;CH013;Y85T89;T;;12
2014-W01;CH013;Y85T89;F;;6
2014-W01;CH013;Y85T89;M;;6
2014-W01;CH013;Y_GE90;T;;14
2014-W01;CH013;Y_GE90;F;;11
2014-W01;CH013;Y_GE90;M;;3
2014-W01;CH021;_T;T;;179
2014-W01;CH021;_T;F;;102
2014-W01;CH021;_T;M;;77
2014-W01;CH021;Y20T24;T;;1
2014-W01;CH021;Y20T24;M;;1
2014-W01;CH021;Y25T29;T;;1
2014-W01;CH021;Y25T29;M;;1
2014-W01;CH021;Y30T34;T;;1
2014-W01;CH021;Y30T34;M;;1
2014-W01;CH021;Y40T44;T;;3
2014-W01;CH021;Y40T44;F;;2
2014-W01;CH021;Y40T44;M;;1
2014-W01;CH021;Y45T49;T;;3
2014-W01;CH021;Y45T49;F;;2
2014-W01;CH021;Y45T49;M;;1
2014-W01;CH021;Y50T54;T;;1
2014-W01;CH021;Y50T54;F;;1
2014-W01;CH021;Y55T59;T;;7
2014-W01;CH021;Y55T59;F;;4
2014-W01;CH021;Y55T59;M;;3
2014-W01;CH021;Y60T64;T;;4
2014-W01;CH021;Y60T64;F;;1
2014-W01;CH021;Y60T64;M;;3
2014-W01;CH021;Y65T69;T;;9
2014-W01;CH021;Y65T69;F;;5
2014-W01;CH021;Y65T69;M;;4
2014-W01;CH021;Y70T74;T;;10
2014-W01;CH021;Y70T74;F;;5
2014-W01;CH021;Y70T74;M;;5
2014-W01;CH021;Y75T79;T;;21
2014-W01;CH021;Y75T79;F;;12
2014-W01;CH021;Y75T79;M;;9
2014-W01;CH021;Y80T84;T;;23
2014-W01;CH021;Y80T84;F;;12
2014-W01;CH021;Y80T84;M;;11
2014-W01;CH021;Y85T89;T;;32
2014-W01;CH021;Y85T89;F;;15
2014-W01;CH021;Y85T89;M;;17
2014-W01;CH021;Y_GE90;T;;63
2014-W01;CH021;Y_GE90;F;;43
2014-W01;CH021;Y_GE90;M;;20
2014-W01;CH022;_T;T;;41
2014-W01;CH022;_T;F;;24
2014-W01;CH022;_T;M;;17
2014-W01;CH022;Y30T34;T;;1
2014-W01;CH022;Y30T34;M;;1
2014-W01;CH022;Y50T54;T;;1
2014-W01;CH022;Y50T54;M;;1
2014-W01;CH022;Y60T64;T;;1
2014-W01;CH022;Y60T64;M;;1
2014-W01;CH022;Y70T74;T;;1
2014-W01;CH022;Y70T74;F;;1
2014-W01;CH022;Y75T79;T;;4
2014-W01;CH022;Y75T79;F;;3
2014-W01;CH022;Y75T79;M;;1
2014-W01;CH022;Y80T84;T;;8
2014-W01;CH022;Y80T84;F;;2
2014-W01;CH022;Y80T84;M;;6
2014-W01;CH022;Y85T89;T;;9
2014-W01;CH022;Y85T89;F;;6
2014-W01;CH022;Y85T89;M;;3
2014-W01;CH022;Y_GE90;T;;16
2014-W01;CH022;Y_GE90;F;;12
2014-W01;CH022;Y_GE90;M;;4
2014-W01;CH023;_T;T;;54
2014-W01;CH023;_T;F;;33
2014-W01;CH023;_T;M;;21
2014-W01;CH023;Y0T4;T;;1
2014-W01;CH023;Y0T4;M;;1
2014-W01;CH023;Y45T49;T;;2
