"Title","Link","Description","pubDate","guid"
"Comeback der Menschenwürde","https://www.rubikon.news/artikel/comeback-der-menschenwurde","<p>Statt uns zurück in die „alte Normalität“ zu sehnen oder die fürsorgliche Entmüdigung durch den Staat hinzunehmen, sollten wir für eine Welt kämpfen, die besser ist als das Bisherige.</p>","2020-08-31T15:00:00+02:00","tag:www.rubikon.news,2005:Article/4065"
"Die Bankrotterklärung","https://www.rubikon.news/artikel/die-bankrotterklarung","<p>In Krisen zeigt sich, was die „Werte“ einer Gesellschaft wert sind — unter dem Diktat von Corona haben sich selbst elementarste Regeln der Menschlichkeit verflüchtigt.</p>","2020-08-31T14:00:00+02:00","tag:www.rubikon.news,2005:Article/4067"
"Kein zweiter Maidan","https://www.rubikon.news/artikel/kein-zweiter-maidan","<p>Beobachter warnen vor gewaltsamen Konflikten zwischen Alexander Lukaschenko und seinen Gegnern — aber Weißrussland ist nicht die Ukraine. </p>","2020-08-31T13:00:00+02:00","tag:www.rubikon.news,2005:Article/4051"
"Massiver Verfassungsbruch","https://www.rubikon.news/artikel/massiver-verfassungsbruch","<p>Am Wochenende haben Politik und von ihr beauftragte Polizei in der Bundeshauptstadt massiv Recht gebrochen, während Hunderttausende friedlich gegen die Corona-Politik demonstrierten.</p>","2020-08-30T18:00:00+02:00","tag:www.rubikon.news,2005:Article/4073"
"Auf nach Berlin!","https://www.rubikon.news/artikel/auf-nach-berlin-2","<p>Die heutige Großdemonstration könnte der Anfang vom Ende des Corona-Regimes sein — der Rubikon ist live vor Ort.</p>","2020-08-29T15:59:00+02:00","tag:www.rubikon.news,2005:Article/4070"
"Das Land ohne Lächeln","https://www.rubikon.news/artikel/das-land-ohne-lacheln","<p>Im Rubikon-Exklusivinterview bezeichnet Gregor Gysis Schwester Gabriele die rigiden Corona-Maßnahmen der Regierung als „kulturelle Katastrophe“.</p>","2020-08-29T14:16:00+02:00","tag:www.rubikon.news,2005:Article/4072"
"Gericht stoppt Verfassungsbruch","https://www.rubikon.news/artikel/gericht-stoppt-verfassungsbruch","<p>Das Berliner Verwaltungsgericht hat am Freitag das Verbot der Demonstration und der Versammlung gegen die Corona-Politik gekippt — mit einer Lektion für Berlins Innensenator Andreas Geisel.</p>","2020-08-29T08:37:00+02:00","tag:www.rubikon.news,2005:Article/4069"
"In Geiselhaft","https://www.rubikon.news/artikel/in-geiselhaft-2","<p>Der „Querdenken“-Organisator Michael Ballweg äußert sich im Interview zum Skandal des Berliner Demonstrationsverbots und warnt vor Eskalation.</p>","2020-08-28T18:00:00+02:00","tag:www.rubikon.news,2005:Article/4063"
"Jetzt erst recht!","https://www.rubikon.news/artikel/jetzt-erst-recht","<p>Mit dem Verbot der Großdemonstration am 29. August in Berlin tritt das Recht auf friedlichen Widerstand in Kraft, meint Jan Schulz-Weiling.</p>","2020-08-28T16:00:00+02:00","tag:www.rubikon.news,2005:Article/4062"
"Das Endspiel","https://www.rubikon.news/artikel/das-endspiel-2","<p>Die Mächtigen versuchen nach dem Motto „Divide et Impera“ zu regieren — höchste Zeit, dieses unwürdige Spiel zu beenden.</p>","2020-08-28T13:00:00+02:00","tag:www.rubikon.news,2005:Article/4059"
"Machen wir‘s selbst!","https://www.rubikon.news/artikel/machen-wir-s-selbst","<p>Statt auf andere zu warten, die unsere Lebensverhältnisse verbessern, können und müssen wir selbst aktiv werden. </p>","2020-08-28T12:00:00+02:00","tag:www.rubikon.news,2005:Article/4057"
"Frontalangriff auf Grundrechte","https://www.rubikon.news/artikel/frontalangriff-auf-grundrechte","<p>Der rot-rot-grüne Senat von Berlin bricht die Verfassung und verbietet Demonstrationen gegen die Corona-Politik.</p>","2020-08-27T17:00:00+02:00","tag:www.rubikon.news,2005:Article/4056"
