land,datum,uhrzeit,postleitzahl,stadt,treffpunkt,protestform,livestream
DE,2020-10-07,16:30:00,80000,München,Theresienwiese,Sonstiges,
DE,2020-10-07,17:00:00,74172,Neckarsulm,Stadtpark,Kundgebung,
DE,2020-10-07,18:00:00,10117,Berlin,Bundeskanzleramt,Kundgebung,https://demo.stream/mariagoetz
DE,2020-10-07,19:00:00,01662,Meißen,Heinrichsplatz,Kundgebung,
DE,2020-10-09,16:00:00,90429,Nürnberg,Jakobsplatz,Demonstration,
AT,2020-10-09,17:00:00,1010,Wien,Ballhausplatz,Menschenkette,
